route_id,route,capsid_id,capsid,organ,current_dose_vg,current_dose_vg_per_kg,current_auc_isf_amount_vg_h,reference_id,reference_product,reference_auc_isf_amount_vg_h,conservative_reference_auc_isf_amount_vg_h,exposure_margin_reference_over_current,conservative_margin_over_current,assessment,evidence_grade,inference_class,uncertainty_factor,comparator_scope,evidence_note,source_url
iv,Peripheral intravenous,php-eb,PHP.eB,heart,2800000000000000.0,40000000000000.0,139698361857872.38,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,8840005775237.363,265200173257.12088,0.06327923719127852,0.0018983771157383557,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid-mouse-restricted-capsid,0.03,clinical same route cross capsid mouse restricted capsid,clinical-same-route-cross-capsid-mouse-restricted-capsid; 0.03 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,php-eb,PHP.eB,kidney,2800000000000000.0,40000000000000.0,222619560951119.38,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,14905650444680.781,447169513340.4234,0.06695570856845602,0.0020086712570536805,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid-mouse-restricted-capsid,0.03,clinical same route cross capsid mouse restricted capsid,clinical-same-route-cross-capsid-mouse-restricted-capsid; 0.03 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,php-eb,PHP.eB,liver,2800000000000000.0,40000000000000.0,1406401055386387.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,105628900965252.38,3168867028957.5713,0.07510581747695892,0.0022531745243087676,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid-mouse-restricted-capsid,0.03,clinical same route cross capsid mouse restricted capsid,clinical-same-route-cross-capsid-mouse-restricted-capsid; 0.03 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,php-eb,PHP.eB,lung,2800000000000000.0,40000000000000.0,717158962470585.5,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,44908847672261.47,1347265430167.844,0.06262049283683521,0.001878614785105056,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid-mouse-restricted-capsid,0.03,clinical same route cross capsid mouse restricted capsid,clinical-same-route-cross-capsid-mouse-restricted-capsid; 0.03 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,php-eb,PHP.eB,muscle,2800000000000000.0,40000000000000.0,5420606234253415.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,307833811089335.75,9235014332680.072,0.05678955411741579,0.0017036866235224737,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid-mouse-restricted-capsid,0.03,clinical same route cross capsid mouse restricted capsid,clinical-same-route-cross-capsid-mouse-restricted-capsid; 0.03 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,php-eb,PHP.eB,rest,2800000000000000.0,40000000000000.0,7151142787596068.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,380237318107325.25,11407119543219.758,0.05317154605930419,0.0015951463817791257,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid-mouse-restricted-capsid,0.03,clinical same route cross capsid mouse restricted capsid,clinical-same-route-cross-capsid-mouse-restricted-capsid; 0.03 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,php-eb,PHP.eB,spleen,2800000000000000.0,40000000000000.0,148469886710219.5,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,9185386347612.367,275561590428.37103,0.06186699910090332,0.0018560099730270997,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid-mouse-restricted-capsid,0.03,clinical same route cross capsid mouse restricted capsid,clinical-same-route-cross-capsid-mouse-restricted-capsid; 0.03 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,cap-b10,CAP-B10,brain,2800000000000000.0,40000000000000.0,32430288644932.44,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,1111121818160.1973,33333654544.805916,0.03426185410575497,0.001027855623172649,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid-mouse-restricted-capsid,0.03,clinical same route cross capsid mouse restricted capsid,clinical-same-route-cross-capsid-mouse-restricted-capsid; 0.03 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,cap-b10,CAP-B10,heart,2800000000000000.0,40000000000000.0,119172597829804.62,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,8840005775237.363,265200173257.12088,0.07417817464936147,0.002225345239480844,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid-mouse-restricted-capsid,0.03,clinical same route cross capsid mouse restricted capsid,clinical-same-route-cross-capsid-mouse-restricted-capsid; 0.03 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,cap-b10,CAP-B10,kidney,2800000000000000.0,40000000000000.0,179657207327486.3,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,14905650444680.781,447169513340.4234,0.08296717212970013,0.002489015163891004,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid-mouse-restricted-capsid,0.03,clinical same route cross capsid mouse restricted capsid,clinical-same-route-cross-capsid-mouse-restricted-capsid; 0.03 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
